title;link;summary;published
Maahanmuuttajat kyllästyivät pikkukunnan huonoihin bussiyhteyksiin – runsaan vuoden asumisen jälkeen lähes kaikki ovat muuttaneet pois;https://yle.fi/uutiset/3-10525531?origin=rss;Pieni Rautjärven kunta teki kaikkensa, että maahanmuuttajat viihtyisivät kunnassa. Silti melkein kaikki muuttivat pois runsaan vuoden asumisen jälkeen.;Mon, 26 Nov 2018 13:13:00 +0200
Poliisille ilmoitettujen viharikosten määrä nousi – yli puolet sanallisia loukkauksia, uhkauksia ja häirintää;https://yle.fi/uutiset/3-10523048?origin=rss;Kasvua selittää osin se, että poliisi käyttää entistä enemmän aikaa netin viharikollisuuden tutkintaan. Enemmistö viharikoksista jää kuitenkin pimentoon.;Mon, 26 Nov 2018 12:07:17 +0200
Pieni kylä peltojen keskellä hämmästyttää elinvoimaisuudellaan – Alajärven Luoma-aholla on 350 asukasta ja 450 työpaikkaa;https://yle.fi/uutiset/3-10521985?origin=rss;Pieni kylä porskuttaa, vaikka ympärillä väki vähenee. Luoma-aho on muuttunut maaseutukylästä teollisuuskeskittymäksi.;Mon, 26 Nov 2018 11:11:00 +0200
Fysioterapeutin 5 vinkkiä estämään ikäihmisten kaatumisia – videossa myös uusi laite, joka harjoittaa tasapainoa;https://yle.fi/uutiset/3-10518558?origin=rss;Iäkkäät harjoittelevat tasapainoa liikuntapelin avulla eri puolilla maata.;Mon, 26 Nov 2018 08:32:00 +0200
"Tampereella huumeita saa helposti, mutta laatu pelottaa käyttäjiäkin – ""Se on ihan arpapeliä""";https://yle.fi/uutiset/3-10475739?origin=rss;28-vuotiaan Simon ja 23-vuotiaan Markuksen elämä on vuosia pyörinyt seuraavan huumeannoksen ympärillä. He kertovat, millaista on elää huumekoukussa Tampereella.;Mon, 26 Nov 2018 07:51:00 +0200
Miksi poliisi ei katso valvontakameran kuvaa, kun se lähettää rikesakkoja? Mitä muuta haluat tietää sakoista? Kysy kello 10-13, me haemme vastaukset;https://yle.fi/uutiset/3-10522591?origin=rss;Voit esittää sakotukseen liittyvät kysymyksesi tämän jutun lopussa olevassa keskustelussa.;Mon, 26 Nov 2018 07:24:00 +0200
"Jyrki Kankaan Porilta saamaa lahja-aukiota ei ole missään – ""Antaa vaan levätä, jos ei muiden mielestä ole kiirettä""";https://yle.fi/uutiset/3-10518368?origin=rss;Mr. Pori Jazz Jyrki Kangas on joutunut odottamaan neljän vuoden ajan Porin kaupungilta saamansa 70-vuotislahjan toteutumista.;Mon, 26 Nov 2018 06:51:34 +0200
Viljasiilot olivat aikansa muotiluomuksia, ja niiden ulkonäköä ihailtiin – Mikkelin murskatessa betonijättiäisensä palasiksi, monet kaupungit miettivät, mitä niille pitäisi tehdä;https://yle.fi/uutiset/3-10522306?origin=rss;43 metriä korkea siilo seisoi vielä viikko sitten muita rakennuksia korkeampana tuoden terveisiä menneisyydestä. Aikanaan pyöreät betonisiilot edustivat uutta tekniikkaa, nyt ne väistyvät uuden tieltä.;Mon, 26 Nov 2018 06:30:00 +0200
Mies katosi Kittilässä – etsinnät lopetettiin tuloksettomina;https://yle.fi/uutiset/3-10525609?origin=rss;78-vuotias mies katosi lähdettyään viime perjantaina aamulenkille.;Mon, 26 Nov 2018 06:12:01 +0200
Talvisessa säässä koetaan yllättävä käänne viikon puolivälissä;https://yle.fi/uutiset/3-10525414?origin=rss;Kuukausi vaihtuu lauhtuvassa säässä. Tähän mennessä syystalvi on ollut erittäin vähäluminen.;Sun, 25 Nov 2018 19:42:22 +0200
Hierontaa, osteopatiaa ja elämyksiä – moni satsaa koiransa hemmotteluun enemmän kuin itseensä: “150 euron hiustenkuivain mopseille ei tuntunut yhtään liian kalliilta”;https://yle.fi/uutiset/3-10522648?origin=rss;Suomalaiset käyttävät vuosittain koiriinsa arviolta 1,2 miljardia euroa. Silti harva yrittäjä ymmärtää suunnata markkinointia koiraihmisille.;Sun, 25 Nov 2018 18:14:00 +0200
